Generated Airfoil
1.000000 0.000000
1.000487 0.003240
1.000328 0.003326
1.000103 0.003375
0.999935 0.003433
0.999654 0.003601
0.999367 0.003766
0.999147 0.003882
0.998883 0.004040
0.998535 0.004266
0.998171 0.004472
0.997760 0.004740
0.997348 0.004975
0.996905 0.005313
0.996434 0.005575
0.995818 0.005904
0.995290 0.006206
0.994666 0.006473
0.993977 0.006831
0.993320 0.007180
0.992452 0.007500
0.991614 0.007992
0.990716 0.008324
0.989671 0.008691
0.988546 0.009553
0.987447 0.009945
0.986255 0.010653
0.984653 0.011571
0.983243 0.012407
0.981653 0.013539
0.979994 0.014245
0.977994 0.015391
0.976059 0.016649
0.973619 0.017942
0.971231 0.019263
0.968741 0.020780
0.965888 0.022230
0.962824 0.024079
0.959462 0.026191
0.955898 0.027906
0.951821 0.029700
0.947442 0.032172
0.943060 0.034831
0.938087 0.037202
0.932311 0.040028
0.926347 0.042840
0.920147 0.045613
0.913121 0.048747
0.905559 0.051954
0.897325 0.056615
0.888451 0.060185
0.878808 0.064289
0.868289 0.068777
0.857087 0.073958
0.844834 0.080736
0.831759 0.085939
0.817651 0.091479
0.802544 0.099476
0.786335 0.107783
0.768793 0.113632
0.749729 0.123296
0.728952 0.132010
0.706263 0.142257
0.681425 0.152516
0.654178 0.163699
0.624244 0.172450
0.591343 0.184059
0.555207 0.191651
0.515553 0.204008
0.475430 0.211756
0.437403 0.217431
0.401446 0.222589
0.367522 0.226485
0.335590 0.226903
0.305602 0.230277
0.277509 0.228264
0.251254 0.228667
0.226777 0.224966
0.204017 0.222237
0.182916 0.218091
0.163409 0.212325
0.145433 0.206422
0.128913 0.199517
0.113773 0.192086
0.099945 0.185001
0.087354 0.177610
0.075928 0.169869
0.065593 0.161699
0.056280 0.153197
0.047918 0.145076
0.040439 0.137040
0.033776 0.128869
0.027863 0.119924
0.022640 0.112253
0.018047 0.104217
0.014027 0.096115
0.010528 0.090354
0.007500 0.084349
0.004897 0.078292
0.002676 0.072931
0.000798 0.067473
-0.000775 0.061740
-0.002074 0.057058
-0.003132 0.052434
-0.003975 0.047815
-0.004630 0.044026
-0.005118 0.039633
-0.005461 0.036023
-0.005678 0.032977
-0.005784 0.029690
-0.005796 0.027132
-0.005727 0.024535
-0.005589 0.021932
-0.005393 0.019792
-0.005147 0.017830
-0.004862 0.016049
-0.004544 0.014435
-0.004200 0.012928
-0.003836 0.011496
-0.003457 0.010121
-0.003067 0.008798
-0.002672 0.007525
-0.002275 0.006300
-0.001878 0.005121
-0.001487 0.003989
-0.001102 0.002905
-0.000729 0.001875
-0.000365 0.000903
0.000000 0.000000
0.000426 -0.000852
0.000946 -0.001696
0.001561 -0.002538
0.002272 -0.003385
0.003081 -0.004249
0.003991 -0.005142
0.005009 -0.006063
0.006139 -0.007027
0.007389 -0.008047
0.008767 -0.009216
0.010280 -0.010378
0.011938 -0.011557
0.013752 -0.012960
0.015730 -0.014096
0.017886 -0.015653
0.020228 -0.017251
0.022776 -0.018514
0.025539 -0.020363
0.028535 -0.021702
0.031786 -0.023155
0.035272 -0.025213
0.039066 -0.027034
0.043178 -0.028535
0.047559 -0.030339
0.052341 -0.031085
0.057420 -0.033607
0.062935 -0.035076
0.068794 -0.037066
0.075152 -0.039631
0.081789 -0.041453
0.089136 -0.043965
0.096641 -0.049858
0.104523 -0.053956
0.112426 -0.058678
0.119761 -0.064686
0.128022 -0.069441
0.136794 -0.072409
0.147100 -0.074397
0.160071 -0.079353
0.173376 -0.081825
0.186220 -0.090717
0.201751 -0.091532
0.218430 -0.097112
0.236090 -0.098545
0.255809 -0.095178
0.275512 -0.098471
0.297557 -0.098727
0.320760 -0.094016
0.346211 -0.094300
0.372764 -0.089331
0.401124 -0.086340
0.432019 -0.085941
0.464759 -0.078495
0.500049 -0.076282
0.537449 -0.072885
0.574280 -0.067709
0.608296 -0.060061
0.639879 -0.056549
0.668849 -0.052234
0.695524 -0.050859
0.720179 -0.050727
0.742828 -0.045605
0.763609 -0.044103
0.782763 -0.043120
0.800431 -0.041806
0.816594 -0.038715
0.831323 -0.036129
0.844965 -0.035252
0.857521 -0.032123
0.869021 -0.030359
0.879581 -0.028909
0.889485 -0.025497
0.898359 -0.024345
0.906663 -0.022999
0.914152 -0.022033
0.921121 -0.020136
0.927604 -0.018648
0.933407 -0.017940
0.938861 -0.016766
0.943865 -0.015512
0.948390 -0.014515
0.952757 -0.013561
0.956612 -0.012722
0.960234 -0.012064
0.963552 -0.011567
0.966558 -0.010726
0.969377 -0.009991
0.972040 -0.009547
0.974331 -0.008939
0.976501 -0.008609
0.978525 -0.008056
0.980352 -0.007581
0.982036 -0.007324
0.983634 -0.006907
0.985066 -0.006692
0.986401 -0.006338
0.987608 -0.006086
0.988735 -0.005766
0.989805 -0.005588
0.990775 -0.005364
0.991661 -0.005219
0.992452 -0.004974
0.993164 -0.004831
0.993826 -0.004715
0.994452 -0.004525
0.995024 -0.004465
0.995540 -0.004334
0.996098 -0.004190
0.996543 -0.004031
0.996931 -0.003977
0.997360 -0.003850
0.997656 -0.003690
0.997995 -0.003592
0.998249 -0.003490
0.998532 -0.003463
0.998789 -0.003381
0.998993 -0.003295
0.999204 -0.003301
0.999384 -0.003211
