Generated Airfoil
1.000000 0.000000
0.999957 0.001360
0.999752 0.001424
0.999529 0.001492
0.999293 0.001574
0.999018 0.001665
0.998753 0.001768
0.998429 0.001877
0.998106 0.001994
0.997740 0.002121
0.997346 0.002255
0.996926 0.002399
0.996478 0.002551
0.995993 0.002713
0.995459 0.002885
0.994902 0.003069
0.994289 0.003265
0.993617 0.003474
0.992929 0.003697
0.992166 0.003935
0.991335 0.004190
0.990440 0.004462
0.989489 0.004754
0.988455 0.005066
0.987326 0.005401
0.986112 0.005761
0.984810 0.006146
0.983399 0.006560
0.981887 0.007005
0.980280 0.007482
0.978467 0.007994
0.976515 0.008545
0.974471 0.009137
0.972265 0.009773
0.969764 0.010456
0.967203 0.011190
0.964337 0.011979
0.961200 0.012825
0.957972 0.013735
0.954364 0.014710
0.950518 0.015757
0.946286 0.016878
0.941829 0.018081
0.937027 0.019369
0.931757 0.020749
0.926022 0.022223
0.919855 0.023800
0.913322 0.025484
0.905959 0.027277
0.898431 0.029188
0.889953 0.031220
0.880823 0.033383
0.871007 0.035682
0.860446 0.038114
0.849000 0.040669
0.836572 0.043337
0.823256 0.046123
0.808901 0.049024
0.793158 0.052033
0.776008 0.055154
0.757873 0.058363
0.737899 0.061661
0.716115 0.065034
0.693502 0.068462
0.668815 0.071922
0.642232 0.075399
0.613592 0.078856
0.582269 0.082232
0.547950 0.085486
0.513578 0.088327
0.481101 0.090611
0.450533 0.092407
0.421730 0.093767
0.394601 0.094724
0.369046 0.095309
0.344959 0.095556
0.322261 0.095483
0.300861 0.095110
0.280690 0.094459
0.261672 0.093555
0.243747 0.092420
0.226852 0.091075
0.210937 0.089536
0.195951 0.087817
0.181847 0.085933
0.168579 0.083904
0.156104 0.081748
0.144386 0.079489
0.133382 0.077139
0.123062 0.074714
0.113391 0.072225
0.104336 0.069685
0.095869 0.067107
0.087958 0.064502
0.080576 0.061883
0.073694 0.059260
0.067285 0.056645
0.061325 0.054048
0.055787 0.051477
0.050647 0.048941
0.045883 0.046448
0.041473 0.044000
0.037395 0.041605
0.033629 0.039266
0.030156 0.036987
0.026959 0.034770
0.024019 0.032621
0.021319 0.030539
0.018846 0.028543
0.016583 0.026612
0.014516 0.024786
0.012635 0.023010
0.010924 0.021386
0.009373 0.019827
0.007971 0.018353
0.006709 0.016924
0.005577 0.015468
0.004564 0.014092
0.003665 0.012621
0.002873 0.011152
0.002182 0.009701
0.001583 0.008256
0.001080 0.006904
0.000675 0.005606
0.000356 0.004350
0.000150 0.003175
0.000030 0.002058
-0.000018 0.000996
0.000000 0.000000
0.000073 -0.000988
0.000189 -0.002051
0.000397 -0.003174
0.000703 -0.004373
0.001114 -0.005595
0.001690 -0.006888
0.002347 -0.008191
0.003253 -0.009591
0.004118 -0.010994
0.005303 -0.012499
0.006406 -0.013856
0.007966 -0.015396
0.009349 -0.016850
0.011012 -0.018498
0.012936 -0.020046
0.014923 -0.021752
0.017347 -0.023199
0.019882 -0.024767
0.022486 -0.026487
0.025651 -0.028207
0.029094 -0.029757
0.032911 -0.031051
0.036915 -0.032855
0.041479 -0.034675
0.046503 -0.035965
0.051527 -0.037357
0.057289 -0.038930
0.063048 -0.040460
0.069648 -0.041931
0.076485 -0.044066
0.083734 -0.044924
0.091969 -0.046134
0.100413 -0.046659
0.109510 -0.047683
0.119410 -0.047631
0.129794 -0.048114
0.140759 -0.049125
0.152790 -0.049833
0.165514 -0.050591
0.178833 -0.051792
0.193650 -0.051772
0.208784 -0.052295
0.225547 -0.051786
0.243177 -0.052057
0.262106 -0.051119
0.282712 -0.050657
0.304022 -0.048980
0.327109 -0.048591
0.351626 -0.048025
0.378121 -0.046941
0.406064 -0.044612
0.436227 -0.042118
0.468264 -0.040564
0.502273 -0.037895
0.538794 -0.036162
0.575385 -0.032780
0.609011 -0.030930
0.640102 -0.028977
0.668953 -0.028482
0.695639 -0.024837
0.720024 -0.022293
0.742443 -0.020547
0.762949 -0.019022
0.782057 -0.017127
0.799475 -0.015752
0.815442 -0.014432
0.830219 -0.013089
0.843830 -0.012356
0.856440 -0.011252
0.867978 -0.010215
0.878604 -0.009357
0.888407 -0.008186
0.897369 -0.007125
0.905744 -0.006753
0.913432 -0.006064
0.920350 -0.005564
0.926987 -0.005019
0.933015 -0.005032
0.938435 -0.004621
0.943496 -0.004246
0.948144 -0.003850
0.952467 -0.003967
0.956423 -0.003534
0.960077 -0.003357
0.963403 -0.002969
0.966472 -0.003230
0.969300 -0.002858
0.971946 -0.002581
0.974300 -0.002477
0.976563 -0.002342
0.978560 -0.002285
0.980448 -0.002302
0.982186 -0.002130
0.983756 -0.002111
0.985220 -0.002117
0.986575 -0.002033
0.987825 -0.001954
0.988957 -0.001820
0.989994 -0.001817
0.990960 -0.001676
0.991857 -0.001736
0.992677 -0.001682
0.993424 -0.001644
0.994107 -0.001646
0.994770 -0.001576
0.995347 -0.001586
0.995901 -0.001562
0.996396 -0.001513
0.996867 -0.001466
0.997276 -0.001433
0.997665 -0.001392
0.998034 -0.001373
0.998343 -0.001376
0.998648 -0.001364
0.998922 -0.001347
0.999184 -0.001340
0.999424 -0.001312
0.999633 -0.001315
0.999839 -0.001315
