Generated Airfoil
1.000000 0.000000
1.000134 0.002692
0.999930 0.002769
0.999706 0.002854
0.999478 0.002936
0.999224 0.003060
0.998948 0.003169
0.998660 0.003297
0.998344 0.003434
0.998002 0.003586
0.997623 0.003740
0.997222 0.003920
0.996788 0.004096
0.996307 0.004348
0.995811 0.004550
0.995268 0.004794
0.994681 0.005069
0.994030 0.005309
0.993326 0.005579
0.992585 0.005931
0.991772 0.006257
0.990898 0.006610
0.989947 0.006995
0.988921 0.007435
0.987810 0.007911
0.986598 0.008434
0.985302 0.008957
0.983903 0.009527
0.982384 0.010206
0.980760 0.010854
0.978990 0.011633
0.977043 0.012455
0.975009 0.013286
0.972745 0.014196
0.970325 0.015283
0.967699 0.016309
0.964807 0.017472
0.961763 0.018695
0.958479 0.020077
0.954817 0.021424
0.950943 0.023043
0.946737 0.024796
0.942162 0.026560
0.937201 0.028570
0.931876 0.030588
0.926167 0.032808
0.919842 0.035230
0.913078 0.037861
0.905825 0.040786
0.897844 0.043568
0.889177 0.046835
0.879904 0.050165
0.869748 0.053578
0.858934 0.057313
0.847071 0.061866
0.834238 0.065883
0.820307 0.070255
0.805136 0.076280
0.788804 0.081267
0.771032 0.087495
0.751736 0.092467
0.730864 0.098320
0.708106 0.104812
0.683523 0.111173
0.657106 0.117737
0.628325 0.124341
0.597194 0.130651
0.563138 0.136991
0.526088 0.144919
0.488811 0.150613
0.453864 0.154982
0.421098 0.159088
0.390333 0.163200
0.361138 0.166214
0.333834 0.167395
0.308043 0.168840
0.283593 0.168391
0.261087 0.168600
0.239556 0.166410
0.218954 0.164684
0.200577 0.161552
0.182692 0.158668
0.166377 0.154925
0.150781 0.151226
0.136090 0.146571
0.123243 0.142402
0.111203 0.137389
0.099983 0.132527
0.088553 0.127522
0.079449 0.122598
0.070344 0.117729
0.061925 0.112112
0.054527 0.106938
0.047657 0.101894
0.041187 0.096869
0.035400 0.091925
0.030310 0.086876
0.025678 0.082095
0.021265 0.077377
0.017492 0.072748
0.013924 0.068298
0.010873 0.063797
0.008374 0.059657
0.005915 0.055637
0.004139 0.051767
0.002388 0.048066
0.000883 0.044416
-0.000074 0.041036
-0.000933 0.037758
-0.001848 0.034651
-0.002376 0.031637
-0.002717 0.028821
-0.003036 0.026121
-0.003250 0.023580
-0.003343 0.021209
-0.003340 0.018963
-0.003266 0.016879
-0.003144 0.014887
-0.002980 0.013033
-0.002772 0.011303
-0.002524 0.009682
-0.002253 0.008172
-0.001963 0.006766
-0.001646 0.005446
-0.001317 0.004210
-0.000991 0.003051
-0.000655 0.001962
-0.000329 0.000948
0.000000 0.000000
0.000331 -0.000947
0.000707 -0.001947
0.001130 -0.003013
0.001602 -0.004135
0.002133 -0.005337
0.002720 -0.006613
0.003381 -0.007975
0.004129 -0.009409
0.004964 -0.010905
0.005933 -0.012528
0.006968 -0.014190
0.008168 -0.015949
0.009535 -0.017777
0.010915 -0.019664
0.012583 -0.021623
0.014286 -0.023687
0.016338 -0.025833
0.018565 -0.027965
0.021018 -0.030204
0.023762 -0.032546
0.026829 -0.034659
0.030146 -0.037089
0.034012 -0.039326
0.038026 -0.041577
0.042751 -0.043638
0.047462 -0.046229
0.052910 -0.048352
0.058451 -0.050955
0.064682 -0.053533
0.071311 -0.055637
0.078181 -0.058068
0.086021 -0.060547
0.094302 -0.063064
0.103149 -0.065139
0.112505 -0.067399
0.122560 -0.069138
0.133449 -0.070051
0.145160 -0.071772
0.157725 -0.072740
0.171448 -0.074351
0.186241 -0.074920
0.201505 -0.076155
0.218222 -0.077285
0.235785 -0.077272
0.254966 -0.077171
0.275482 -0.077176
0.297237 -0.077850
0.320843 -0.077972
0.345823 -0.077806
0.372429 -0.077837
0.400995 -0.075158
0.431716 -0.074568
0.464564 -0.072838
0.499348 -0.069300
0.536908 -0.066323
0.574106 -0.062430
0.608375 -0.059495
0.639780 -0.055223
0.668559 -0.051756
0.695142 -0.047961
0.719681 -0.044509
0.742085 -0.041129
0.762820 -0.037870
0.781908 -0.034192
0.799427 -0.031730
0.815532 -0.029179
0.830355 -0.027383
0.844144 -0.025063
0.856693 -0.023066
0.868312 -0.021368
0.879012 -0.019699
0.888826 -0.018417
0.897908 -0.016881
0.906208 -0.016084
0.913844 -0.014781
0.920893 -0.013737
0.927356 -0.013038
0.933254 -0.012163
0.938764 -0.011414
0.943780 -0.010661
0.948391 -0.010074
0.952681 -0.009274
0.956601 -0.008813
0.960192 -0.008292
0.963513 -0.007804
0.966585 -0.007254
0.969374 -0.006967
0.971972 -0.006491
0.974380 -0.006165
0.976552 -0.005924
0.978593 -0.005619
0.980433 -0.005322
0.982161 -0.005109
0.983738 -0.004902
0.985186 -0.004672
0.986552 -0.004476
0.987756 -0.004317
0.988894 -0.004168
0.989934 -0.003966
0.990888 -0.003873
0.991775 -0.003732
0.992579 -0.003607
0.993324 -0.003541
0.994002 -0.003432
0.994634 -0.003321
0.995215 -0.003264
0.995760 -0.003210
0.996255 -0.003123
0.996715 -0.003069
0.997134 -0.002978
0.997523 -0.002932
0.997879 -0.002867
0.998197 -0.002852
0.998508 -0.002780
0.998787 -0.002731
0.999032 -0.002701
0.999265 -0.002684
0.999481 -0.002623
0.999683 -0.002603
